User ID,User Name,AWS Service,Interaction Type,Interaction Frequency,Rating
4,Krystal Ewing,AWS S3,View,3,4
4,Krystal Ewing,AWS Identity and Access Management (IAM),Purchase,2,2
4,Krystal Ewing,AWS Security Hub,Like,20,2
4,Krystal Ewing,AWS GuardDuty,View,15,1
4,Krystal Ewing,AWS WAF,Purchase,9,4
5,Michelle Wallace,AWS Well-Architected Framework,Like,18,2
5,Michelle Wallace,AWS Solutions Architect Consulting,Like,20,1
5,Michelle Wallace,AWS Cloud Migration,Comment,2,3
5,Michelle Wallace,AWS Amplify,View,15,1
5,Michelle Wallace,AWS Lambda,Comment,7,1
5,Michelle Wallace,AWS EC2,View,2,4
5,Michelle Wallace,AWS S3,Comment,13,2
5,Michelle Wallace,AWS Identity and Access Management (IAM),View,8,5
5,Michelle Wallace,AWS Security Hub,Like,1,1
5,Michelle Wallace,AWS GuardDuty,View,20,4
5,Michelle Wallace,AWS WAF,Purchase,18,4
6,Beverly Barnes,AWS Well-Architected Framework,Like,5,1
6,Beverly Barnes,AWS Solutions Architect Consulting,View,15,4
6,Beverly Barnes,AWS Cloud Migration,View,1,2
6,Beverly Barnes,AWS Amplify,Purchase,6,1
6,Beverly Barnes,AWS Lambda,Comment,4,5
6,Beverly Barnes,AWS EC2,Like,19,4
6,Beverly Barnes,AWS S3,Purchase,14,3
6,Beverly Barnes,AWS Identity and Access Management (IAM),Like,10,1
6,Beverly Barnes,AWS Security Hub,Comment,11,4
6,Beverly Barnes,AWS GuardDuty,View,14,5
6,Beverly Barnes,AWS WAF,Purchase,4,3
7,William Davis,AWS Well-Architected Framework,Purchase,17,2
7,William Davis,AWS Solutions Architect Consulting,Comment,5,5
7,William Davis,AWS Cloud Migration,Purchase,1,2
7,William Davis,AWS Amplify,View,5,1
7,William Davis,AWS Lambda,Like,15,3
7,William Davis,AWS EC2,Like,4,4
7,William Davis,AWS S3,Purchase,18,4
7,William Davis,AWS Identity and Access Management (IAM),Purchase,17,2
7,William Davis,AWS Security Hub,Purchase,3,5
7,William Davis,AWS GuardDuty,Purchase,15,4
7,William Davis,AWS WAF,View,19,3
8,Steve Lopez,AWS Well-Architected Framework,Like,3,2
8,Steve Lopez,AWS Solutions Architect Consulting,View,2,1
8,Steve Lopez,AWS Cloud Migration,View,5,2
8,Steve Lopez,AWS Amplify,Like,5,5
8,Steve Lopez,AWS Lambda,Comment,3,5
8,Steve Lopez,AWS EC2,Comment,9,3
8,Steve Lopez,AWS S3,Comment,7,3
8,Steve Lopez,AWS Identity and Access Management (IAM),Comment,12,4
8,Steve Lopez,AWS Security Hub,View,9,4
8,Steve Lopez,AWS GuardDuty,Purchase,19,2
8,Steve Lopez,AWS WAF,Like,17,1
9,Sandra Ward,AWS Well-Architected Framework,View,20,5
9,Sandra Ward,AWS Solutions Architect Consulting,Purchase,14,4
9,Sandra Ward,AWS Cloud Migration,Comment,9,2
9,Sandra Ward,AWS Amplify,Like,19,4
9,Sandra Ward,AWS Lambda,View,6,4
9,Sandra Ward,AWS EC2,Comment,8,1
9,Sandra Ward,AWS S3,Like,13,3
9,Sandra Ward,AWS Identity and Access Management (IAM),Comment,4,1
9,Sandra Ward,AWS Security Hub,Purchase,19,3
9,Sandra Ward,AWS GuardDuty,View,20,4
9,Sandra Ward,AWS WAF,View,2,4
10,Jacqueline Ellis,AWS Well-Architected Framework,Comment,7,5
10,Jacqueline Ellis,AWS Solutions Architect Consulting,View,6,5
10,Jacqueline Ellis,AWS Cloud Migration,Purchase,5,1
10,Jacqueline Ellis,AWS Amplify,View,7,5
10,Jacqueline Ellis,AWS Lambda,Like,19,2
10,Jacqueline Ellis,AWS EC2,Comment,20,1
10,Jacqueline Ellis,AWS S3,Like,2,2
10,Jacqueline Ellis,AWS Identity and Access Management (IAM),Purchase,6,3
10,Jacqueline Ellis,AWS Security Hub,Like,11,2
10,Jacqueline Ellis,AWS GuardDuty,Like,14,4
10,Jacqueline Ellis,AWS WAF,View,6,2
11,Colton Wagner,AWS Well-Architected Framework,Like,7,5
11,Colton Wagner,AWS Solutions Architect Consulting,View,17,2
11,Colton Wagner,AWS Cloud Migration,View,20,1
11,Colton Wagner,AWS Amplify,Purchase,3,1
11,Colton Wagner,AWS Lambda,View,5,5
11,Colton Wagner,AWS EC2,Comment,16,5
11,Colton Wagner,AWS S3,Comment,12,3
11,Colton Wagner,AWS Identity and Access Management (IAM),Comment,16,5
11,Colton Wagner,AWS Security Hub,Purchase,1,3
11,Colton Wagner,AWS GuardDuty,Purchase,9,2
11,Colton Wagner,AWS WAF,Comment,12,4
12,Amanda Richardson,AWS Well-Architected Framework,Purchase,17,5
12,Amanda Richardson,AWS Solutions Architect Consulting,Comment,19,4
12,Amanda Richardson,AWS Cloud Migration,Comment,20,5
12,Amanda Richardson,AWS Amplify,Like,8,3
12,Amanda Richardson,AWS Lambda,Like,9,2
12,Amanda Richardson,AWS EC2,Like,8,3
12,Amanda Richardson,AWS S3,Like,9,1
12,Amanda Richardson,AWS Identity and Access Management (IAM),Like,5,2
12,Amanda Richardson,AWS Security Hub,Purchase,18,1
12,Amanda Richardson,AWS GuardDuty,View,10,4
12,Amanda Richardson,AWS WAF,Like,8,1
13,Nicole Stewart,AWS Well-Architected Framework,Comment,15,2
13,Nicole Stewart,AWS Solutions Architect Consulting,Comment,1,3
13,Nicole Stewart,AWS Cloud Migration,Purchase,12,1
13,Nicole Stewart,AWS Amplify,Purchase,8,3
13,Nicole Stewart,AWS Lambda,View,18,1
13,Nicole Stewart,AWS EC2,Comment,18,3
13,Nicole Stewart,AWS S3,Comment,14,4
13,Nicole Stewart,AWS Identity and Access Management (IAM),View,10,4
13,Nicole Stewart,AWS Security Hub,Purchase,1,4
13,Nicole Stewart,AWS GuardDuty,Purchase,6,3
13,Nicole Stewart,AWS WAF,View,10,3
14,Kimberly Lopez,AWS Well-Architected Framework,View,13,2
14,Kimberly Lopez,AWS Solutions Architect Consulting,View,5,4
14,Kimberly Lopez,AWS Cloud Migration,Comment,1,5
14,Kimberly Lopez,AWS Amplify,View,14,2
14,Kimberly Lopez,AWS Lambda,View,14,5
14,Kimberly Lopez,AWS EC2,Comment,20,5
14,Kimberly Lopez,AWS S3,Like,11,3
14,Kimberly Lopez,AWS Identity and Access Management (IAM),Comment,19,2
14,Kimberly Lopez,AWS Security Hub,Like,7,4
14,Kimberly Lopez,AWS GuardDuty,View,3,1
14,Kimberly Lopez,AWS WAF,Like,5,3
15,Nathan Sullivan,AWS Well-Architected Framework,Purchase,19,1
15,Nathan Sullivan,AWS Solutions Architect Consulting,Purchase,5,1
15,Nathan Sullivan,AWS Cloud Migration,Like,14,5
15,Nathan Sullivan,AWS Amplify,Comment,1,3
15,Nathan Sullivan,AWS Lambda,View,14,5
15,Nathan Sullivan,AWS EC2,View,6,5
15,Nathan Sullivan,AWS S3,Like,8,1
15,Nathan Sullivan,AWS Identity and Access Management (IAM),View,16,1
15,Nathan Sullivan,AWS Security Hub,Comment,1,2
15,Nathan Sullivan,AWS GuardDuty,Purchase,11,5
15,Nathan Sullivan,AWS WAF,View,9,2
16,Dr. William Davies,AWS Well-Architected Framework,Comment,3,4
16,Dr. William Davies,AWS Solutions Architect Consulting,View,6,3
16,Dr. William Davies,AWS Cloud Migration,Comment,2,3
16,Dr. William Davies,AWS Amplify,Comment,18,5
16,Dr. William Davies,AWS Lambda,Comment,12,4
16,Dr. William Davies,AWS EC2,Like,2,3
16,Dr. William Davies,AWS S3,Like,18,4
16,Dr. William Davies,AWS Identity and Access Management (IAM),View,5,4
16,Dr. William Davies,AWS Security Hub,View,20,4
16,Dr. William Davies,AWS GuardDuty,Purchase,1,1
16,Dr. William Davies,AWS WAF,View,12,4
17,Dr. James Martinez,AWS Well-Architected Framework,View,10,2
17,Dr. James Martinez,AWS Solutions Architect Consulting,Purchase,11,4
17,Dr. James Martinez,AWS Cloud Migration,Like,4,4
17,Dr. James Martinez,AWS Amplify,View,9,4
17,Dr. James Martinez,AWS Lambda,Like,14,3
17,Dr. James Martinez,AWS EC2,Comment,7,1
17,Dr. James Martinez,AWS S3,Comment,4,1
17,Dr. James Martinez,AWS Identity and Access Management (IAM),Like,8,2
17,Dr. James Martinez,AWS Security Hub,Comment,19,5
17,Dr. James Martinez,AWS GuardDuty,View,3,1
17,Dr. James Martinez,AWS WAF,View,6,2
18,Veronica Young,AWS Well-Architected Framework,View,11,4
18,Veronica Young,AWS Solutions Architect Consulting,View,20,1
18,Veronica Young,AWS Cloud Migration,View,10,5
18,Veronica Young,AWS Amplify,Like,10,2
18,Veronica Young,AWS Lambda,Purchase,14,4
18,Veronica Young,AWS EC2,Like,18,3
18,Veronica Young,AWS S3,Comment,13,3
18,Veronica Young,AWS Identity and Access Management (IAM),Purchase,9,4
18,Veronica Young,AWS Security Hub,View,8,4
18,Veronica Young,AWS GuardDuty,Like,20,1
18,Veronica Young,AWS WAF,Comment,17,4
19,Austin Hawkins,AWS Well-Architected Framework,Like,3,5
19,Austin Hawkins,AWS Solutions Architect Consulting,Comment,2,3
19,Austin Hawkins,AWS Cloud Migration,Comment,8,1
19,Austin Hawkins,AWS Amplify,View,4,4
19,Austin Hawkins,AWS Lambda,Purchase,19,5
19,Austin Hawkins,AWS EC2,Like,9,2
19,Austin Hawkins,AWS S3,View,18,4
19,Austin Hawkins,AWS Identity and Access Management (IAM),Purchase,7,1
19,Austin Hawkins,AWS Security Hub,Purchase,17,2
19,Austin Hawkins,AWS GuardDuty,View,8,2
19,Austin Hawkins,AWS WAF,Purchase,15,5
20,Marcia Stewart,AWS Well-Architected Framework,Comment,19,1
20,Marcia Stewart,AWS Solutions Architect Consulting,Purchase,5,1
20,Marcia Stewart,AWS Cloud Migration,Purchase,14,1
20,Marcia Stewart,AWS Amplify,Comment,11,5
20,Marcia Stewart,AWS Lambda,Purchase,13,1
20,Marcia Stewart,AWS EC2,Purchase,1,4
20,Marcia Stewart,AWS S3,Comment,4,4
20,Marcia Stewart,AWS Identity and Access Management (IAM),Purchase,3,5
20,Marcia Stewart,AWS Security Hub,View,17,3
20,Marcia Stewart,AWS GuardDuty,Like,5,3
20,Marcia Stewart,AWS WAF,Comment,5,4
21,Steven Diaz,AWS Well-Architected Framework,Comment,2,2
21,Steven Diaz,AWS Solutions Architect Consulting,Purchase,14,1
21,Steven Diaz,AWS Cloud Migration,Comment,12,3
21,Steven Diaz,AWS Amplify,Purchase,15,2
21,Steven Diaz,AWS Lambda,Purchase,11,5
21,Steven Diaz,AWS EC2,View,9,4
21,Steven Diaz,AWS S3,Like,17,3
21,Steven Diaz,AWS Identity and Access Management (IAM),Like,18,4
21,Steven Diaz,AWS Security Hub,Like,17,4
21,Steven Diaz,AWS GuardDuty,Comment,17,5
21,Steven Diaz,AWS WAF,Like,16,3
22,Christopher Hendricks,AWS Well-Architected Framework,Like,5,1
22,Christopher Hendricks,AWS Solutions Architect Consulting,View,15,5
22,Christopher Hendricks,AWS Cloud Migration,Like,20,3
22,Christopher Hendricks,AWS Amplify,Comment,10,5
22,Christopher Hendricks,AWS Lambda,Like,11,2
22,Christopher Hendricks,AWS EC2,Like,17,3
22,Christopher Hendricks,AWS S3,Purchase,20,3
22,Christopher Hendricks,AWS Identity and Access Management (IAM),Like,3,4
22,Christopher Hendricks,AWS Security Hub,Comment,7,1
22,Christopher Hendricks,AWS GuardDuty,Purchase,15,5
22,Christopher Hendricks,AWS WAF,Purchase,8,4
23,Tammy Evans,AWS Well-Architected Framework,Comment,15,3
23,Tammy Evans,AWS Solutions Architect Consulting,View,13,2
23,Tammy Evans,AWS Cloud Migration,Purchase,3,1
23,Tammy Evans,AWS Amplify,Purchase,7,5
23,Tammy Evans,AWS Lambda,Purchase,14,4
23,Tammy Evans,AWS EC2,Like,8,4
23,Tammy Evans,AWS S3,Purchase,17,5
23,Tammy Evans,AWS Identity and Access Management (IAM),Purchase,4,2
23,Tammy Evans,AWS Security Hub,View,1,5
23,Tammy Evans,AWS GuardDuty,Like,8,2
23,Tammy Evans,AWS WAF,Like,17,2
24,Susan Bartlett,AWS Well-Architected Framework,Like,11,1
24,Susan Bartlett,AWS Solutions Architect Consulting,Like,14,2
24,Susan Bartlett,AWS Cloud Migration,Like,12,2
24,Susan Bartlett,AWS Amplify,Comment,5,1
24,Susan Bartlett,AWS Lambda,Purchase,18,2
24,Susan Bartlett,AWS EC2,View,16,2
24,Susan Bartlett,AWS S3,View,4,5
24,Susan Bartlett,AWS Identity and Access Management (IAM),View,9,4
24,Susan Bartlett,AWS Security Hub,View,19,5
24,Susan Bartlett,AWS GuardDuty,View,20,5
24,Susan Bartlett,AWS WAF,Like,7,3
25,Timothy Brooks,AWS Well-Architected Framework,Like,1,4
25,Timothy Brooks,AWS Solutions Architect Consulting,Comment,14,2
25,Timothy Brooks,AWS Cloud Migration,Like,13,4
25,Timothy Brooks,AWS Amplify,View,2,5
25,Timothy Brooks,AWS Lambda,Purchase,19,2
25,Timothy Brooks,AWS EC2,Comment,9,2
25,Timothy Brooks,AWS S3,Comment,1,3
25,Timothy Brooks,AWS Identity and Access Management (IAM),Comment,9,4
25,Timothy Brooks,AWS Security Hub,View,8,3
25,Timothy Brooks,AWS GuardDuty,View,6,1
25,Timothy Brooks,AWS WAF,Comment,3,3
26,Shelby Ramos,AWS Well-Architected Framework,Like,3,2
26,Shelby Ramos,AWS Solutions Architect Consulting,Like,2,1
26,Shelby Ramos,AWS Cloud Migration,Purchase,10,3
26,Shelby Ramos,AWS Amplify,View,17,3
26,Shelby Ramos,AWS Lambda,Like,13,3
26,Shelby Ramos,AWS EC2,View,2,5
26,Shelby Ramos,AWS S3,Purchase,19,1
26,Shelby Ramos,AWS Identity and Access Management (IAM),Like,10,4
26,Shelby Ramos,AWS Security Hub,Like,18,2
26,Shelby Ramos,AWS GuardDuty,View,19,5
26,Shelby Ramos,AWS WAF,Like,3,4
27,Walter Robinson,AWS Well-Architected Framework,Like,9,1
27,Walter Robinson,AWS Solutions Architect Consulting,View,4,2
27,Walter Robinson,AWS Cloud Migration,Comment,8,1
27,Walter Robinson,AWS Amplify,Like,15,5
27,Walter Robinson,AWS Lambda,View,16,5
27,Walter Robinson,AWS EC2,Like,3,4
27,Walter Robinson,AWS S3,View,18,1
27,Walter Robinson,AWS Identity and Access Management (IAM),Purchase,2,1
27,Walter Robinson,AWS Security Hub,Comment,15,1
27,Walter Robinson,AWS GuardDuty,View,17,5
27,Walter Robinson,AWS WAF,Comment,10,3
28,Cristina Freeman,AWS Well-Architected Framework,Comment,3,1
28,Cristina Freeman,AWS Solutions Architect Consulting,View,19,1
28,Cristina Freeman,AWS Cloud Migration,Comment,15,2
28,Cristina Freeman,AWS Amplify,Purchase,2,5
28,Cristina Freeman,AWS Lambda,Purchase,17,3
28,Cristina Freeman,AWS EC2,Like,19,5
28,Cristina Freeman,AWS S3,Comment,20,5
28,Cristina Freeman,AWS Identity and Access Management (IAM),Like,16,2
28,Cristina Freeman,AWS Security Hub,Comment,2,5
28,Cristina Freeman,AWS GuardDuty,View,17,5
28,Cristina Freeman,AWS WAF,View,18,4
29,Dorothy Winters,AWS Well-Architected Framework,Like,11,4
29,Dorothy Winters,AWS Solutions Architect Consulting,View,14,4
29,Dorothy Winters,AWS Cloud Migration,Purchase,18,5
29,Dorothy Winters,AWS Amplify,Comment,2,5
29,Dorothy Winters,AWS Lambda,Like,16,1
29,Dorothy Winters,AWS EC2,View,2,4
29,Dorothy Winters,AWS S3,Purchase,3,3
29,Dorothy Winters,AWS Identity and Access Management (IAM),Like,18,4
29,Dorothy Winters,AWS Security Hub,Purchase,9,1
29,Dorothy Winters,AWS GuardDuty,Purchase,8,5
29,Dorothy Winters,AWS WAF,View,19,2
30,Noah Thomas,AWS Well-Architected Framework,Comment,13,4
30,Noah Thomas,AWS Solutions Architect Consulting,View,14,2
30,Noah Thomas,AWS Cloud Migration,Like,9,5
30,Noah Thomas,AWS Amplify,Comment,4,1
30,Noah Thomas,AWS Lambda,Like,3,5
30,Noah Thomas,AWS EC2,View,7,4
30,Noah Thomas,AWS S3,Comment,12,2
30,Noah Thomas,AWS Identity and Access Management (IAM),Comment,13,3
30,Noah Thomas,AWS Security Hub,View,13,4
30,Noah Thomas,AWS GuardDuty,View,3,5
30,Noah Thomas,AWS WAF,View,12,3
31,Casey Johnson,AWS Well-Architected Framework,Purchase,3,5
31,Casey Johnson,AWS Solutions Architect Consulting,Purchase,20,3
31,Casey Johnson,AWS Cloud Migration,Purchase,7,4
31,Casey Johnson,AWS Amplify,Purchase,15,5
31,Casey Johnson,AWS Lambda,Comment,2,4
31,Casey Johnson,AWS EC2,Comment,6,4
31,Casey Johnson,AWS S3,Like,11,3
31,Casey Johnson,AWS Identity and Access Management (IAM),View,15,3
31,Casey Johnson,AWS Security Hub,View,2,5
31,Casey Johnson,AWS GuardDuty,Like,14,1
31,Casey Johnson,AWS WAF,View,2,4
32,Deborah Torres,AWS Well-Architected Framework,Comment,6,5
32,Deborah Torres,AWS Solutions Architect Consulting,Like,19,4
32,Deborah Torres,AWS Cloud Migration,View,16,1
32,Deborah Torres,AWS Amplify,Purchase,17,3
32,Deborah Torres,AWS Lambda,Like,14,2
32,Deborah Torres,AWS EC2,Purchase,14,1
32,Deborah Torres,AWS S3,View,16,3
32,Deborah Torres,AWS Identity and Access Management (IAM),Like,6,3
32,Deborah Torres,AWS Security Hub,Comment,13,5
32,Deborah Torres,AWS GuardDuty,Purchase,13,5
32,Deborah Torres,AWS WAF,Comment,9,3
33,Heather Harper,AWS Well-Architected Framework,Comment,10,3
33,Heather Harper,AWS Solutions Architect Consulting,Like,11,5
33,Heather Harper,AWS Cloud Migration,Like,4,3
33,Heather Harper,AWS Amplify,Comment,3,3
33,Heather Harper,AWS Lambda,Purchase,12,2
33,Heather Harper,AWS EC2,View,8,3
33,Heather Harper,AWS S3,View,18,1
33,Heather Harper,AWS Identity and Access Management (IAM),Purchase,1,3
33,Heather Harper,AWS Security Hub,Like,17,2
33,Heather Harper,AWS GuardDuty,View,10,2
33,Heather Harper,AWS WAF,View,5,1
34,William Rice,AWS Well-Architected Framework,Comment,1,3
34,William Rice,AWS Solutions Architect Consulting,Like,17,2
34,William Rice,AWS Cloud Migration,Comment,14,5
34,William Rice,AWS Amplify,Like,6,5
34,William Rice,AWS Lambda,View,16,1
34,William Rice,AWS EC2,Like,14,3
34,William Rice,AWS S3,Purchase,3,2
34,William Rice,AWS Identity and Access Management (IAM),Like,2,5
34,William Rice,AWS Security Hub,Like,14,4
34,William Rice,AWS GuardDuty,Purchase,3,3
34,William Rice,AWS WAF,Comment,20,5
35,Bethany Williams,AWS Well-Architected Framework,Purchase,1,1
35,Bethany Williams,AWS Solutions Architect Consulting,Comment,10,1
35,Bethany Williams,AWS Cloud Migration,Like,7,4
35,Bethany Williams,AWS Amplify,View,12,5
35,Bethany Williams,AWS Lambda,Purchase,18,5
35,Bethany Williams,AWS EC2,Purchase,9,1
35,Bethany Williams,AWS S3,Purchase,8,3
35,Bethany Williams,AWS Identity and Access Management (IAM),Purchase,3,2
35,Bethany Williams,AWS Security Hub,View,13,4
35,Bethany Williams,AWS GuardDuty,Comment,4,4
35,Bethany Williams,AWS WAF,Like,4,3
36,Mr. Bryan Poole,AWS Well-Architected Framework,Comment,13,2
36,Mr. Bryan Poole,AWS Solutions Architect Consulting,Comment,12,1
36,Mr. Bryan Poole,AWS Cloud Migration,Like,13,2
36,Mr. Bryan Poole,AWS Amplify,Comment,9,3
36,Mr. Bryan Poole,AWS Lambda,View,7,3
36,Mr. Bryan Poole,AWS EC2,View,17,2
36,Mr. Bryan Poole,AWS S3,View,6,2
36,Mr. Bryan Poole,AWS Identity and Access Management (IAM),View,12,5
36,Mr. Bryan Poole,AWS Security Hub,Purchase,14,5
36,Mr. Bryan Poole,AWS GuardDuty,View,17,2
36,Mr. Bryan Poole,AWS WAF,Comment,9,5
37,Courtney Williams DDS,AWS Well-Architected Framework,View,18,2
37,Courtney Williams DDS,AWS Solutions Architect Consulting,Purchase,15,2
37,Courtney Williams DDS,AWS Cloud Migration,Like,17,1
37,Courtney Williams DDS,AWS Amplify,Comment,15,5
37,Courtney Williams DDS,AWS Lambda,Purchase,3,1
37,Courtney Williams DDS,AWS EC2,View,16,5
37,Courtney Williams DDS,AWS S3,Comment,8,3
37,Courtney Williams DDS,AWS Identity and Access Management (IAM),View,8,2
37,Courtney Williams DDS,AWS Security Hub,View,3,3
37,Courtney Williams DDS,AWS GuardDuty,View,16,5
37,Courtney Williams DDS,AWS WAF,Comment,11,1
38,Randy Todd,AWS Well-Architected Framework,Purchase,7,4
38,Randy Todd,AWS Solutions Architect Consulting,Comment,14,2
38,Randy Todd,AWS Cloud Migration,Purchase,14,1
38,Randy Todd,AWS Amplify,Comment,19,1
38,Randy Todd,AWS Lambda,Comment,17,3
38,Randy Todd,AWS EC2,Purchase,1,1
38,Randy Todd,AWS S3,Comment,12,1
38,Randy Todd,AWS Identity and Access Management (IAM),Like,12,5
38,Randy Todd,AWS Security Hub,View,14,5
38,Randy Todd,AWS GuardDuty,View,14,3
38,Randy Todd,AWS WAF,Comment,16,3
39,Anthony Johnson,AWS Well-Architected Framework,View,13,2
39,Anthony Johnson,AWS Solutions Architect Consulting,Like,3,1
39,Anthony Johnson,AWS Cloud Migration,Comment,12,1
39,Anthony Johnson,AWS Amplify,Purchase,5,4
39,Anthony Johnson,AWS Lambda,View,14,2
39,Anthony Johnson,AWS EC2,Like,20,1
39,Anthony Johnson,AWS S3,Like,11,2
39,Anthony Johnson,AWS Identity and Access Management (IAM),Purchase,6,1
39,Anthony Johnson,AWS Security Hub,Comment,7,5
39,Anthony Johnson,AWS GuardDuty,Comment,4,1
39,Anthony Johnson,AWS WAF,Like,11,4
40,William Davis,AWS Well-Architected Framework,Comment,8,3
40,William Davis,AWS Solutions Architect Consulting,Purchase,20,1
40,William Davis,AWS Cloud Migration,View,7,4
40,William Davis,AWS Amplify,Like,4,1
40,William Davis,AWS Lambda,View,2,2
40,William Davis,AWS EC2,Comment,19,3
40,William Davis,AWS S3,Comment,2,1
40,William Davis,AWS Identity and Access Management (IAM),Purchase,13,4
40,William Davis,AWS Security Hub,View,15,2
40,William Davis,AWS GuardDuty,Comment,20,4
40,William Davis,AWS WAF,Like,5,1
41,Kent Cameron,AWS Well-Architected Framework,Purchase,10,5
41,Kent Cameron,AWS Solutions Architect Consulting,Like,10,1
41,Kent Cameron,AWS Cloud Migration,Purchase,6,4
41,Kent Cameron,AWS Amplify,Comment,11,4
41,Kent Cameron,AWS Lambda,Like,20,3
41,Kent Cameron,AWS EC2,Purchase,20,4
41,Kent Cameron,AWS S3,Like,13,5
41,Kent Cameron,AWS Identity and Access Management (IAM),View,9,5
41,Kent Cameron,AWS Security Hub,Like,10,4
41,Kent Cameron,AWS GuardDuty,Like,2,5
41,Kent Cameron,AWS WAF,Purchase,20,1
42,Jerry Miller,AWS Well-Architected Framework,Comment,10,4
42,Jerry Miller,AWS Solutions Architect Consulting,Purchase,2,3
42,Jerry Miller,AWS Cloud Migration,Purchase,10,2
42,Jerry Miller,AWS Amplify,Comment,2,1
42,Jerry Miller,AWS Lambda,Purchase,12,1
42,Jerry Miller,AWS EC2,Purchase,17,5
42,Jerry Miller,AWS S3,Comment,15,3
42,Jerry Miller,AWS Identity and Access Management (IAM),Purchase,11,2
42,Jerry Miller,AWS Security Hub,View,18,4
42,Jerry Miller,AWS GuardDuty,Purchase,10,5
42,Jerry Miller,AWS WAF,View,2,2
43,Tammy Young,AWS Well-Architected Framework,Comment,1,1
43,Tammy Young,AWS Solutions Architect Consulting,Purchase,1,5
43,Tammy Young,AWS Cloud Migration,Purchase,12,3
43,Tammy Young,AWS Amplify,Like,9,1
43,Tammy Young,AWS Lambda,Purchase,13,2
43,Tammy Young,AWS EC2,View,17,1
43,Tammy Young,AWS S3,Comment,17,1
43,Tammy Young,AWS Identity and Access Management (IAM),Purchase,6,2
43,Tammy Young,AWS Security Hub,Comment,20,4
43,Tammy Young,AWS GuardDuty,Purchase,9,4
43,Tammy Young,AWS WAF,Comment,13,2
44,Jennifer Grant,AWS Well-Architected Framework,View,19,2
44,Jennifer Grant,AWS Solutions Architect Consulting,View,13,3
44,Jennifer Grant,AWS Cloud Migration,Purchase,8,1
44,Jennifer Grant,AWS Amplify,Purchase,17,4
44,Jennifer Grant,AWS Lambda,Like,20,5
44,Jennifer Grant,AWS EC2,View,11,2
44,Jennifer Grant,AWS S3,View,7,5
44,Jennifer Grant,AWS Identity and Access Management (IAM),Like,9,2
44,Jennifer Grant,AWS Security Hub,Purchase,1,1
44,Jennifer Grant,AWS GuardDuty,Comment,13,4
44,Jennifer Grant,AWS WAF,Purchase,12,4
45,Kevin Young,AWS Well-Architected Framework,Comment,12,3
45,Kevin Young,AWS Solutions Architect Consulting,Comment,20,2
45,Kevin Young,AWS Cloud Migration,Purchase,19,1
45,Kevin Young,AWS Amplify,Comment,18,1
45,Kevin Young,AWS Lambda,Purchase,8,4
45,Kevin Young,AWS EC2,Comment,20,4
45,Kevin Young,AWS S3,Comment,12,3
45,Kevin Young,AWS Identity and Access Management (IAM),Purchase,17,3
45,Kevin Young,AWS Security Hub,View,3,4
45,Kevin Young,AWS GuardDuty,Purchase,18,2
45,Kevin Young,AWS WAF,View,9,4
46,Eric Anderson,AWS Well-Architected Framework,Comment,1,3
46,Eric Anderson,AWS Solutions Architect Consulting,View,5,2
